3.549999698556 1.990881603624 -0.02585972417265   0.001023443216891 0.009037792877467   30.86795251974 25.62763994315   0.6100077268637 1.271168387837   
3.612831551628 2.083446333843 -0.004399259484502   0.001217442342658 0.009618892812064   32.8782067722 28.96139393495   0.5755207819128 1.216850920801   
3.6756634047 2.199791751779 0.01985785296492   0.001532161960904 0.01036643079593   35.51817681895 32.63655885919   0.5462623033982 1.176756951327   
3.738495257772 2.352605324517 0.04661688280548   0.0020135045555 0.01136529173152   39.08768618575 36.89268176166   0.5208785111708 1.152232287477   
3.801327110844 2.56351456001 0.07428265245856   0.002752803939303 0.01275489846361   44.12941430674 42.08606614013   0.4984386180049 1.147051763978   
3.864158963915 2.872972596013 0.09700698426947   0.003945704828481 0.01478411335433   51.72102884433 48.79052779091   0.4788462760433 1.169695246878   
3.926990816987 3.36613969099 0.09338593001143   0.006070837784193 0.01794056184991   64.30217597149 57.97051609268   0.464912101646 1.239535406317   
3.989822670059 4.252496021252 -0.02825872335355   0.01057411837361 0.02326903013041   88.56395390358 71.02378842756   0.4735114780594 1.406402621534   
4.052654523131 6.137671982533 -0.8164737603891   0.02354982283919 0.0326650092385   148.7710968306 85.04927155427   0.6203229473606 1.82139699992   
4.115486376203 8.653632294155 -7.101420511063   0.07603634738768 0.02446442517825   319.4965756654 -24.19794319533   2.037445480309 2.492206335067   
4.178318229274 -2.641167433925 -7.663780063618   0.03517132987429 -0.05394719408197   54.18041976626 -232.7216955054   2.392229389786 -0.1642582609167   
4.241150082346 -2.254197900671 -2.889473872973   0.004811301753224 -0.03256329951679   -18.32413184149 -108.9205612595   1.278220299835 -0.20253185534   
4.303981935418 -1.315599526215 -1.593365423903   5.948155688789e-05 -0.02129619732313   -17.17029192539 -60.47399478109   0.965346477537 -0.04434853951119   
4.36681378849 -0.7631438343166 -1.071766672792   -0.001004047786812 -0.01571948919072   -12.01895772482 -37.61069793176   0.8419178357706 0.038643356192   
4.429645641562 -0.4205379060273 -0.7983333916785   -0.001222464410579 -0.01255970503224   -7.672002544044 -24.42707364263   0.7817767514655 0.07664102844698   
4.492477494633 -0.1924812394324 -0.6296487166388   -0.001184152635807 -0.01061037955056   -4.281794468904 -15.76591781333   0.7495326701949 0.08833768581117   
4.555309347705 -0.03214305057046 -0.5134713086607   -0.001056986811302 -0.009354604659302   -1.60414087973 -9.532899194747   0.7319406840729 0.08277640877224   
4.618141200777 0.08533158613341 -0.4267675161822   -0.0009004697375887 -0.008541005363287   0.5771218529229 -4.725511756482   0.7229108519842 0.06425787499896   
4.680973053849 0.1742367996033 -0.3579334838114   -0.0007406567530503 -0.008036854780716   2.42247026711 -0.8014243607833   0.7190783586919 0.03457529866405   
4.743804906921 0.2434020730548 -0.3005145762683   -0.0005932485392666 -0.007769553122389   4.054481683191 2.563112016125   0.7181265343764 -0.006026305862858   
4.806636759992 0.2986624053601 -0.2506336567005   -0.0004729354912066 -0.00770068335882   5.576939575677 5.578486329834   0.7179359937897 -0.0584638224712   
4.869468613064 0.3441674679153 -0.2058255203108   -0.0003992986827764 -0.007813511398533   7.09194948566 8.391412097042   0.7159183026382 -0.1247019721789   
4.932300466136 0.3831519122213 -0.1644904667039   -0.0004032367759221 -0.00810608110004   8.717785448567 11.10732404255   0.7081941531212 -0.2077379432079   
