8.513716091228 1.333205079293 0.4577375499265   -0.001532419715989 -0.004865890208026   -59.12500619722 23.98975557769   -0.761639995626 -0.4970464054468   
8.5765479443 1.331952904428 0.4467845265984   -0.001637308399587 -0.004776604860947   -59.4614703191 23.43829519382   -0.7879133257008 -0.4770792843474   
8.639379797372 1.330823748932 0.4365534310111   -0.001735452913571 -0.004685994575054   -59.75320603559 22.87441139883   -0.8136005791385 -0.4572225367753   
8.702211650444 1.329813530597 0.4270404565107   -0.001827052659071 -0.004594218852024   -60.00143984465 22.29902455361   -0.8386875264399 -0.4375062331093   
8.765043503516 1.328917677356 0.4182399338165   -0.001912308744492 -0.004501429674554   -60.20739714644 21.71303624658   -0.8631620736218 -0.4179582935513   
8.827875356587 1.328131195321 0.4101444833643   -0.001991423303841 -0.004407771734947   -60.3723000845 21.11732842572   -0.8870141325528 -0.3986045674964   
8.890707209659 1.327448732008 0.4027451613172   -0.002064598865341 -0.004313382663714   -60.49736563151 20.51276263821   -0.9102354956858 -0.3794689133828   
8.953539062731 1.326864634937 0.3960315991922   -0.002132037775226 -0.004218393257414   -60.58380375827 19.90017937237   -0.9328197156504 -0.3605732786247   
9.016370915803 1.326373006045 0.3899921371165   -0.002193941667208 -0.004122927704975   -60.63281581958 19.28039749612   -0.9547619893747 -0.3419377792834   
9.079202768875 1.32596775121 0.3846139507313   -0.002250510981671 -0.004027103811945   -60.64559301913 18.65421378666   -0.9760590471023 -0.3235807791641   
9.142034621946 1.325642626359 0.3798831718088   -0.002301944527806 -0.00393103322208   -60.62331502729 18.02240254613   -0.9967090460494 -0.305518968068   
9.204866475018 1.325391279481 0.3757850026707   -0.002348439086539 -0.003834821635844   -60.56714874433 17.38571529794   -1.016711468653 -0.2877674389616   
9.26769832809 1.32520728909 0.3723038245029   -0.002390189054799 -0.003738569025404   -60.47824713905 16.74488055862   -1.036067025582 -0.2703397638549   
9.330530181162 1.325084199371 0.3694232997034   -0.002427386125476 -0.003642369845788   -60.35774822638 16.10060368053   -1.054777563168 -0.2532480682126   
9.393362034233 1.325015551983 0.3671264683984   -0.002460219002343 -0.003546313241912   -60.20677414641 15.45356676006   -1.072845975314 -0.2365031037441   
9.456193887305 1.324994914585 0.3653958392696   -0.002488873148527 -0.003450483251267   -60.0264303248 14.8044286077   -1.090276119784 -0.2201143194473   
9.519025740377 1.325015907381 0.364213474871   -0.002513530564393 -0.003354959002025   -59.81780474378 14.15382477416   -1.107072738711 -0.2040899307965   
9.581857593449 1.325072225697 0.3635610716015   -0.002534369595438 -0.003259814906446   -59.58196727824 13.50236762954   -1.12324138327 -0.1884369869907   
9.644689446521 1.325157661196 0.3634200345039   -0.002551564765 -0.00316512084945   -59.31996914361 12.85064649066   -1.138788342275 -0.1731614361929   
9.707521299592 1.325266120375 0.3637715470851   -0.00256528663389 -0.003070942372262   -59.03284237835 12.19922779252   -1.153720574789 -0.1582681887076   
9.770353152664 1.325391640218 0.3645966363387   -0.002575701681804 -0.002977340851073   -58.72159942746 11.54865530102   -1.168045646388 -0.1437611780613   
9.833185005736 1.32552840322 0.3658762331622   -0.00258297220934 -0.002884373670661   -58.38723279987 10.89945036196   -1.18177166902 -0.1296434199566   
